Familia,Resultado,DocumentID,Filename,ValueText,RevisionNo
_SW_Detailing_Mode_,MSDCRVOSC0027,35113,MSDCRVOSC0027 - 312730.SLDDRW,0,2
_SW_Detailing_Mode_,MSDCRVOSC0044,35120,"MSDCRVOSC0044 - Cravo Inox Ø8,3x9,15.SLDDRW",0,4
_SW_Detailing_Mode_,EP10761502,35122,EP10761502 - Cravar caixa 7615 92x35.SLDDRW,0,4
_SW_Detailing_Mode_,EP10761503,35124,EP10761503 - Cravar caixa 7615 85x30.SLDDRW,0,4
_SW_Detailing_Mode_,EP05770903,35129,EP05770903 - Testa 7709x1600mm.SLDDRW,0,4
_SW_Detailing_Mode_,01-77-225,35186,01-77-225 - Cravo guia mola do zarelho.SLDDRW,0,4
_SW_Detailing_Mode_,01-77-035,35197,01-77-035 _ Muleta-7791-92.SLDDRW,0,2
_SW_Detailing_Mode_,EP05779108,35204,EP05779108 - 01-77-225 - Cravo guia mola zarelho 7791.SLDDRW,0,3
_SW_Detailing_Mode_,EP05779117,35205,EP05779117 - Muleta 7791 x 20.SLDDRW,0,4
_SW_Detailing_Mode_,01-77-032,35206,01-77-032 _ Muleta-7791-20.SLDDRW,0,3
_SW_Detailing_Mode_,01-77-291,35209,01-77-291 - Perculsor 7791x20.SLDDRW,0,3
_SW_Detailing_Mode_,EP05779119,35210,EP05779119 - Perculsor 7791x20.SLDDRW,0,3
_SW_Detailing_Mode_,EP05306014,35220,EP05306014 - 01-30-138 - Grampo Inox fecho 3060 com rampa .SLDDRW,0,2
_SW_Detailing_Mode_,EP05306013,35221,EP05306013 - 01-30-134 - Grampo Inox fecho 3060 normal .SLDDRW,0,3
_SW_Detailing_Mode_,EP06520009,35222,EP06520009 - Kit acessorios Osc. OBT052-OBT006-OBT023-OBT026-POS.MTML-OBT095.SLDDRW,0,3
_SW_Detailing_Mode_,EP15153103,35226,EP15153103 - Pre-montagem 1531.SLDDRW,0,3
_SW_Detailing_Mode_,EP10761504,35238,EP10761504 - Cravar caixa 7615 85x35.SLDDRW,0,4
_SW_Detailing_Mode_,Plastic,35293,Plastic Spacer for groove 23 - 03122020plane Rev1.1.SLDDRW,0,3
_SW_Detailing_Mode_,EP14761501,35306,EP14761501 - Montagem-Central_7615_30_85.SLDDRW,0,5
_SW_Detailing_Mode_,EP06520010,35319,EP06520010 - OBT037-3B ; OBT037-2B ; OBT090.SLDDRW,0,6
_SW_Detailing_Mode_,EP06520007,35323,EP06520007 - OBT037_3.SLDDRW,0,3
_SW_Detailing_Mode_,EP14761502,35340,EP14761502 - Montagem-Central_7615_35_85.SLDDRW,0,5
_SW_Detailing_Mode_,EP10006001,35359,EP10006001 - Haste CCV com Bloqueador (Erreti).SLDDRW,0,3
_SW_Detailing_Mode_,EP14761504,35383,EP14761504 - Montagem-Central_7615_35_92.SLDDRW,0,4
_SW_Detailing_Mode_,EP05003023,35384,EP05003023 - 012510 Concealed hinge base.SLDDRW,0,5
_SW_Detailing_Mode_,EP10761506,35416,EP10761506 - Cravar caixa Pontas 7615.SLDDRW,0,3
_SW_Detailing_Mode_,EP14761505,35417,EP14761505 - Montagem-pontas-7615.SLDDRW,0,3
_SW_Detailing_Mode_,01-77-198,35528,01-77-198 - Corrediça pequena 7717_7799.SLDDRW,0,3
_SW_Detailing_Mode_,EP05779906,35529,EP05779906 - 01-77-198 - Corrediça pequena (das pontas) 7799-7717.SLDDRW,0,3
_SW_Detailing_Mode_,01-77-201,35532,01-77-201 - Corrediça comum 7799.SLDDRW,0,4
_SW_Detailing_Mode_,03-50-010,35536,03-50-010 - Tranca-Testa-5005.SLDDRW,0,5
_SW_Detailing_Mode_,EP06500001,35540,EP06500001 - Caixa testa 500.SLDDRW,0,6
_SW_Detailing_Mode_,08-50-011,35541,08-50-011 - Trinco-Testa-5003.SLDDRW,0,5
_SW_Detailing_Mode_,08-50-012,35542,08-50-012 - Fiel testa 5002.SLDDRW,0,4
_SW_Detailing_Mode_,03-50-001,35543,03-50-001 - Caixa-Testa-5001.SLDDRW,0,6
_SW_Detailing_Mode_,03-50-002,35552,03-50-002 - Travao-Testa-5004.SLDDRW,0,5
_SW_Detailing_Mode_,EP06520011,35557,EP06520011 - 03-52-083_A - OBT035 Ligador do compasso.SLDDRW,0,8
_SW_Detailing_Mode_,EP06000008,35558,EP06000008 - Esquadro Reenvio - OBT032+OBT035A+OBT036.SLDDRW,0,2
_SW_Detailing_Mode_,EP06761516,35591,EP06761516 - Apoio das rodas D 03-76-040 e E 03-76-041.SLDDRW,0,3
_SW_Detailing_Mode_,EP05555007,35596,EP05555007 - OBT551 (Dir) - OBT552 (Esq).SLDDRW,0,3
_SW_Detailing_Mode_,EP06771604,35601,EP06771604 - Tapa-pó 7716 - 25+30+35.SLDDRW,0,2
_SW_Detailing_Mode_,03.OSC.034,35606,03.OSC.034 - OBT034.SLDDRW,0,2
